model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.25,quantile_0.75,quantile_0.975
BPagano,2021-01-25,1 wk ahead cum death,2021-01-30,Alaska,270,264,268,273,277
BPagano,2021-01-25,1 wk ahead cum death,2021-01-30,Kansas,3702,3559,3651,3750,3842
BPagano,2021-01-25,1 wk ahead cum death,2021-01-30,Maine,577,537,563,591,617
BPagano,2021-01-25,1 wk ahead cum death,2021-01-30,National,422857,418467,421312,424333,427179
BPagano,2021-01-25,1 wk ahead cum death,2021-01-30,Utah,1743,1688,1723,1762,1797
BPagano,2021-01-25,1 wk ahead cum death,2021-01-30,West Virginia,1950,1851,1915,1983,2047
BPagano,2021-01-25,2 wk ahead cum death,2021-02-06,Alaska,278,267,274,282,289
BPagano,2021-01-25,2 wk ahead cum death,2021-02-06,Kansas,3908,3633,3811,4000,4178
BPagano,2021-01-25,2 wk ahead cum death,2021-02-06,Maine,640,560,611,667,718
BPagano,2021-01-25,2 wk ahead cum death,2021-02-06,National,442208,433563,439167,445116,450720
BPagano,2021-01-25,2 wk ahead cum death,2021-02-06,Utah,1823,1717,1785,1859,1927
BPagano,2021-01-25,2 wk ahead cum death,2021-02-06,West Virginia,2099,1905,2030,2165,2290
BPagano,2021-01-25,3 wk ahead cum death,2021-02-13,Alaska,284,269,279,290,300
BPagano,2021-01-25,3 wk ahead cum death,2021-02-13,Kansas,4097,3701,3958,4231,4487
BPagano,2021-01-25,3 wk ahead cum death,2021-02-13,Maine,702,582,660,743,820
BPagano,2021-01-25,3 wk ahead cum death,2021-02-13,National,460619,447926,456154,464888,473116
BPagano,2021-01-25,3 wk ahead cum death,2021-02-13,Utah,1898,1743,1843,1950,2049
BPagano,2021-01-25,3 wk ahead cum death,2021-02-13,West Virginia,2241,1956,2140,2337,2522
BPagano,2021-01-25,4 wk ahead cum death,2021-02-20,Alaska,290,271,283,297,309
BPagano,2021-01-25,4 wk ahead cum death,2021-02-20,Kansas,4270,3763,4091,4441,4769
BPagano,2021-01-25,4 wk ahead cum death,2021-02-20,Maine,764,604,708,818,921
BPagano,2021-01-25,4 wk ahead cum death,2021-02-20,National,477842,461362,472045,483385,494068
BPagano,2021-01-25,4 wk ahead cum death,2021-02-20,Utah,1969,1769,1898,2037,2166
BPagano,2021-01-25,4 wk ahead cum death,2021-02-20,West Virginia,2373,2003,2243,2498,2737
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Alabama,7242,6669,7013,7394,7703
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Alaska,292,263,281,301,319
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,American Samoa,0,0,0,0,0
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Arizona,13062,12529,12880,13209,13535
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Arkansas,4836,4782,4814,4850,4889
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,California,40337,39312,40002,40593,41349
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Colorado,5606,5482,5545,5646,5729
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Connecticut,7029,6906,6998,7090,7210
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Delaware,1056,1036,1042,1068,1091
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,District of Columbia,893,870,884,900,919
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Florida,26293,26033,26203,26372,26576
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Georgia,14189,13925,14099,14287,14478
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Guam,131,128,129,133,134
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Hawaii,350,335,345,358,374
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Idaho,1732,1703,1718,1743,1763
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Illinois,21289,21035,21212,21380,21600
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Indiana,10118,9767,9977,10240,10456
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Iowa,4653,4614,4640,4665,4684
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Kansas,3703,3587,3587,3830,4079
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Kentucky,3679,3593,3649,3698,3745
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Louisiana,8895,8656,8795,8963,9179
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Maine,580,544,563,605,640
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Maryland,7131,7110,7125,7140,7153
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Massachusetts,14558,14355,14475,14610,14732
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Michigan,15637,15278,15509,15803,16094
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Minnesota,6308,6215,6278,6339,6390
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Mississippi,6026,5884,5974,6078,6130
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Missouri,7088,6774,6988,7196,7366
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Montana,1190,1141,1165,1217,1252
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,National,439071,433325,436637,440544,444341
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Nebraska,1929,1879,1891,1954,2024
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Nevada,4255,4127,4197,4303,4361
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,New Hampshire,1036,998,1018,1054,1083
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,New Jersey,21465,21252,21390,21532,21682
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,New Mexico,3324,3255,3305,3354,3408
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,New York,43458,43274,43396,43552,43674
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,North Carolina,9170,9002,9107,9213,9316
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,North Dakota,1469,1442,1458,1481,1498
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Northern Mariana Islands,2,2,2,2,2
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Ohio,11222,11109,11182,11254,11319
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Oklahoma,3514,3458,3494,3532,3570
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Oregon,1947,1877,1877,2006,2098
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Pennsylvania,21783,21475,21658,21934,22160
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Puerto Rico,1838,1817,1831,1846,1859
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Rhode Island,2160,2083,2118,2196,2250
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,South Carolina,6853,6730,6812,6901,6963
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,South Dakota,1758,1704,1738,1777,1806
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Tennessee,9286,9010,9173,9377,9618
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Texas,37008,36638,36902,37142,37282
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Utah,1677,1659,1671,1683,1697
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Vermont,178,170,173,183,192
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Virgin Islands,24,24,24,25,26
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Virginia,6457,6359,6431,6483,6525
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Washington,4337,4120,4248,4404,4510
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,West Virginia,1974,1872,1926,2023,2097
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Wisconsin,6443,6279,6394,6498,6601
UGA-CEID,2021-01-25,1 wk ahead cum death,2021-01-30,Wyoming,621,571,599,644,672
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Alabama,7770,6669,7370,8205,8902
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Alaska,328,268,304,344,385
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,American Samoa,0,0,0,0,0
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Arizona,13971,12873,13622,14340,15071
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Arkansas,5107,4981,5071,5140,5223
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,California,43818,41548,43104,44295,46056
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Colorado,5721,5482,5603,5815,6002
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Connecticut,7265,6976,7149,7385,7663
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Delaware,1076,1036,1055,1101,1147
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,District of Columbia,914,870,894,933,982
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Florida,27410,26795,27265,27627,27950
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Georgia,15158,14543,14954,15392,15745
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Guam,134,128,131,137,140
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Hawaii,365,335,355,381,420
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Idaho,1797,1731,1771,1819,1855
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Illinois,21944,21350,21752,22148,22634
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Indiana,10514,9806,10267,10775,11596
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Iowa,4822,4735,4794,4845,4895
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Kansas,3809,3587,3599,4095,4684
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Kentucky,3965,3761,3915,4008,4107
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Louisiana,9272,8800,9086,9452,9990
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Maine,621,544,581,660,764
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Maryland,7426,7382,7410,7442,7483
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Massachusetts,15005,14574,14872,15160,15424
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Michigan,16075,15278,15767,16422,17045
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Minnesota,6478,6285,6412,6550,6695
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Mississippi,6285,5969,6177,6420,6558
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Missouri,7365,6871,7136,7614,8038
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Montana,1242,1141,1186,1296,1382
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,National,460633,448413,454008,464072,471220
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Nebraska,1957,1879,1913,2032,2144
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Nevada,4487,4171,4374,4592,4793
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,New Hampshire,1091,1002,1055,1120,1195
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,New Jersey,21994,21554,21823,22155,22492
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,New Mexico,3541,3387,3481,3601,3712
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,New York,44813,44350,44640,44984,45256
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,North Carolina,9741,9378,9635,9890,10078
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,North Dakota,1506,1445,1475,1530,1573
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Northern Mariana Islands,2,2,2,2,2
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Ohio,11778,11552,11679,11839,12006
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Oklahoma,3797,3678,3747,3850,3926
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Oregon,1997,1877,1908,2185,2373
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Pennsylvania,23174,22341,22863,23425,23914
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Puerto Rico,1905,1859,1887,1919,1948
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Rhode Island,2223,2083,2142,2296,2440
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,South Carolina,7244,6929,7155,7312,7526
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,South Dakota,1822,1724,1777,1860,1925
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Tennessee,9750,9056,9528,9958,10636
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Texas,39244,38517,39030,39552,39902
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Utah,1773,1731,1758,1787,1818
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Vermont,185,170,177,194,214
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Virgin Islands,24,24,24,25,28
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Virginia,6839,6653,6779,6890,7002
UGA-CEID,2021-01-25,2 wk ahead cum death,2021-02-06,Washington,4522,4187,4336,4700,4989
