Facility.ID,jurisdiction,State,Name,Address,City,Zipcode,County,County.FIPS,Latitude,Longitude,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Date
886,state,New York,ADIRONDACK CORRECTIONAL FACILITY,196 Ray Brook Rd,Ray Brook,12977,Essex,36031,44.2959809,-74.09147654,2,0,0,0,1/27/2021
835,state,New Jersey,ADULT DIAGNOSTIC AND TREATMENT CENTER,8 Production Way -  P.O. Box 190,Woodbridge,7095,Middlesex,34023,40.58959315,-74.27158104,407,136,14,0,1/27/2021
1584,state,Washington,AHTANUM VIEW WORK RELEASE,2009 S 64th Ave,Yakima,98903,Yakima,53077,,,4,8,0,0,1/27/2021
1585,state,Washington,AIRWAY HEIGHTS CORRECTIONS CENTER,11919 W Sprague Ave,Airway Heights,99001,Spokane,53063,47.65348482,-117.5765877,1673,207,2,0,1/27/2021
1718,state,Alabama,ALABAMA CORRECTIONS ACADEMY,351 Craig Industrial Park,Selma,36701,Dallas,1047,32.739632,-86.843459,0,19,0,0,1/27/2021
1,state,Alabama,ALABAMA HEADQUARTERS,301 South Ripley St,Montgomery,36104,Montgomery,1101,,,0,65,0,0,1/27/2021
2,state,Alabama,ALABAMA TREATMENT AND EDUCATION FACILITY,102 Industrial Parkway,Columbiana,35051,Shelby,1117,33.18100499,-86.62401724,10,2,1,0,1/27/2021
,state,California,ALAMEDA COUNTY,550 6th Street,Oakland,94607,Alameda,6001,,,0,2,0,0,1/20/2021
952,state,North Carolina,ALBEMARLE CORRECTIONAL INSTITUTION,44150 Airport Rd,New London,28127,Stanly,37167,35.41602345,-80.13737358,435,0,3,0,1/27/2021
887,state,New York,ALBION CORRECTIONAL FACILITY,3595 State School Rd,Albion,14411,Orleans,36073,43.24495011,-78.21490278,17,0,0,0,1/27/2021
1152,state,Pennsylvania,ALBION CORRECTIONAL FACILITY,10745 State Rt 18,Albion,16475,Erie,42049,41.87872712,-80.36314055,307,165,2,0,1/27/2021
715,state,Mississippi,ALCORN COUNTY CORRECTIONAL FACILITY,2839 South Harper Rd,Corinth,38834,Alcorn,28003,34.9103402,-88.5518458,0,0,0,0,1/27/2021
1623,federal,West Virginia,ALDERSON FEDERAL PRISON CAMP,1 Glen Ray Rd,Alderson,24910,Greenbrier,54025,,,13,0,0,0,1/27/2021
3,state,Alabama,ALEX CITY COMMUNITY BASED FACILITY,Highway 22 West,Alex City,35011,Coosa,1037,32.90447114,-86.00896897,1,11,0,0,1/27/2021
953,state,North Carolina,ALEXANDER CORRECTIONAL INSTITUTION,633 Old Landfill Rd,Taylorsville,28681,Alexander,37003,35.88442972,-81.17672747,305,0,6,0,1/27/2021
650,state,Michigan,ALGER CORRECTIONAL FACILITY,N6141 Industrial Park Dr,Munising,49862,Alger,26003,46.37861565,-86.63961732,147,23,0,0,1/27/2021
742,state,Missouri,ALGOA CORRECTIONAL CENTER,8200 No More Victims Rd,Jefferson City,65101,Cole,29051,38.55187713,-92.04693637,0,0,0,0,1/27/2021
4,federal,Alabama,ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION,11070 Highway 14,Aliceville,35442,Pickens,10107,33.17626974,-88.19304609,77,0,0,0,1/27/2021
1153,county,Pennsylvania,ALLEGHENY COUNTY JAIL,950 2Nd Ave,Pittsburgh,15219,Allegheny,42003,40.43449,-79.99346,123,102,0,0,1/27/2021
573,state,Louisiana,ALLEN CORRECTIONAL CENTER,3751 Lauderdale Woodyard Rd,Kinder,70648,Allen,22003,30.56148319,-92.78967268,266,35,0,0,1/27/2021
1066,state,Ohio,ALLEN OAKWOOD CORRECTIONAL INSTITUTION,2338 North West St,Lima,45801,Allen,39003,40.77810856,-84.10044987,245,175,11,0,1/27/2021
1206,state,South Carolina,ALLENDALE CORRECTIONAL INSTITUTION,1057 Revolutionary Trail,Fairfax,29827,Allendale,45005,32.96770367,-81.26901233,29,31,2,0,1/27/2021
1154,federal,Pennsylvania,ALLENWOOD LOW FEDERAL CORRECTIONAL INSTITUTION,Rt. 15 - 2 Miles N Of Allenwood,Allenwood,17810,Union,42119,,,295,0,0,0,1/27/2021
1155,federal,Pennsylvania,ALLENWOOD MEDIUM FEDERAL CORRECTIONAL INSTITUTION,Rt. 15 -  2 Miles N Of Allenwood,Allenwood,17810,Union,42119,41.12679716,-76.92503845,578,0,0,0,1/27/2021
1156,federal,Pennsylvania,ALLENWOOD UNITED STATES PENITENTIARY,Rt. 15 -  2 Miles N Of Allenwood,Allenwood,17810,Union,42119,41.13386913,-76.92289809,129,0,1,0,1/27/2021
1272,state,Texas,ALLRED UNIT,2101 Fm 369 N,Iowa Park,76367,Wichita,48485,33.97465975,-98.59568464,714,240,0,0,1/27/2021
775,federal,Montana,ALPHA HOUSE,3109 1st Ave N,Billings,59101,Yellowstone,30111,,,2,0,0,0,1/27/2021
776,state,Montana,ALPHA HOUSE BILLINGS,3109 1St Avenue North,Billings,59101,Yellowstone,30111,45.7804008,-108.5100514,25,2,0,0,1/27/2021
448,federal,Illinois,ALPHA HOUSE OF SPRINGFIELD,,,,,,,,3,0,0,0,1/27/2021
