date,county,fips,Staff Confirmed Cases,Patients Confirmed Cases,Staff Deaths,Patients Deaths,state,state2
2020-06-05,Alameda,1,143,258,0,28,California,CA
2020-06-05,Butte,7,1,1,0,0,California,CA
2020-06-05,Contra Costa,13,71,105,3,5,California,CA
2020-06-05,El Dorado,17,1,0,0,0,California,CA
2020-06-05,Fresno,19,43,118,2,27,California,CA
2020-06-05,Humboldt,23,2,2,1,2,California,CA
2020-06-05,Imperial,25,18,3,1,1,California,CA
2020-06-05,Kern,29,80,111,0,20,California,CA
2020-06-05,Kings,31,1,19,0,0,California,CA
2020-06-05,Los Angeles,37,3333,6446,39,916,California,CA
2020-06-05,Madera,39,1,1,0,0,California,CA
2020-06-05,Marin,41,7,4,1,5,California,CA
2020-06-05,Mendocino,45,1,1,1,1,California,CA
2020-06-05,Merced,47,2,1,0,0,California,CA
2020-06-05,Monterey,53,2,13,0,1,California,CA
2020-06-05,Napa,55,2,1,1,1,California,CA
2020-06-05,Orange,59,297,643,2,65,California,CA
2020-06-05,Placer,61,2,2,0,2,California,CA
2020-06-05,Riverside,65,332,580,1,76,California,CA
2020-06-05,Sacramento,67,33,115,1,9,California,CA
2020-06-05,San Benito,69,1,1,1,1,California,CA
2020-06-05,San Bernardino,71,227,502,3,60,California,CA
2020-06-05,San Diego,73,274,542,4,73,California,CA
2020-06-05,San Francisco,75,53,83,1,5,California,CA
2020-06-05,San Joaquin,77,41,67,1,5,California,CA
2020-06-05,San Luis Obispo,79,2,1,0,0,California,CA
2020-06-05,San Mateo,81,129,255,1,25,California,CA
2020-06-05,Santa Barbara,83,5,14,0,2,California,CA
2020-06-05,Santa Clara,85,133,243,1,20,California,CA
2020-06-05,Santa Cruz,87,1,0,0,0,California,CA
2020-06-05,Shasta,89,2,1,0,1,California,CA
2020-06-05,Solano,95,35,98,0,11,California,CA
2020-06-05,Sonoma,97,3,1,1,1,California,CA
2020-06-05,Stanislaus,99,61,105,0,23,California,CA
2020-06-05,Tulare,107,162,368,1,35,California,CA
2020-06-05,Ventura,111,33,7,0,2,California,CA
2020-06-05,Yolo,113,14,32,1,15,California,CA
2020-06-06,Alameda,1,143,261,0,28,California,CA
2020-06-06,Butte,7,1,1,0,0,California,CA
2020-06-06,Contra Costa,13,71,110,3,5,California,CA
2020-06-06,El Dorado,17,1,0,0,0,California,CA
2020-06-06,Fresno,19,43,118,2,27,California,CA
2020-06-06,Humboldt,23,2,2,1,2,California,CA
2020-06-06,Imperial,25,18,3,1,1,California,CA
2020-06-06,Kern,29,81,111,0,20,California,CA
2020-06-06,Kings,31,17,20,0,0,California,CA
2020-06-06,Los Angeles,37,3370,6532,41,931,California,CA
2020-06-06,Madera,39,1,1,0,0,California,CA
2020-06-06,Marin,41,7,4,1,5,California,CA
