date,race,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent,population_percent
2020-05-14,Asian,0-17,80,0.042,0,0.0,0.13
2020-05-14,Asian,18-34,1177,0.092,3,0.111,0.151
2020-05-14,Asian,35-49,1498,0.11599999999999999,11,0.078,0.179
2020-05-14,Asian,50-64,1627,0.126,53,0.121,0.16699999999999998
2020-05-14,Asian,65-79,873,0.129,117,0.127,0.172
2020-05-14,Asian,80+,676,0.17800000000000002,295,0.218,0.172
2020-05-14,Asian,Total,5941,0.11599999999999999,480,0.16699999999999998,0.157
2020-05-14,Black,0-17,44,0.023,0,0.0,0.054000000000000006
2020-05-14,Black,18-34,594,0.047,4,0.14800000000000002,0.065
2020-05-14,Black,35-49,661,0.051,14,0.099,0.059
2020-05-14,Black,50-64,851,0.066,47,0.107,0.064
2020-05-14,Black,65-79,567,0.084,110,0.119,0.055
2020-05-14,Black,80+,308,0.081,117,0.08600000000000001,0.048
2020-05-14,Black,Total,3026,0.059,292,0.10099999999999999,0.06
2020-05-14,Latino,0-17,1491,0.779,0,0.0,0.479
2020-05-14,Latino,18-34,7899,0.621,16,0.593,0.45
2020-05-14,Latino,35-49,7530,0.583,102,0.723,0.415
2020-05-14,Latino,50-64,6506,0.503,234,0.5329999999999999,0.322
2020-05-14,Latino,65-79,2466,0.365,360,0.389,0.218
2020-05-14,Latino,80+,972,0.256,348,0.257,0.196
2020-05-14,Latino,Total,26880,0.526,1060,0.36700000000000005,0.389
2020-05-14,Other,0-17,103,0.054,0,0.0,0.044000000000000004
2020-05-14,Other,18-34,852,0.067,1,0.037000000000000005,0.032
2020-05-14,Other,35-49,826,0.063,3,0.021,0.021
2020-05-14,Other,50-64,893,0.06899999999999999,9,0.02,0.017
2020-05-14,Other,65-79,420,0.062000000000000006,27,0.028000000000000004,0.015
2020-05-14,Other,80+,183,0.047999999999999994,24,0.017,0.013
2020-05-14,Other,Total,3280,0.065,64,0.023,0.027000000000000003
2020-05-14,White,0-17,197,0.103,0,0.0,0.292
2020-05-14,White,18-34,2199,0.173,3,0.111,0.302
2020-05-14,White,35-49,2392,0.185,11,0.078,0.325
2020-05-14,White,50-64,3062,0.237,96,0.21899999999999997,0.43
2020-05-14,White,65-79,2433,0.36,312,0.337,0.54
2020-05-14,White,80+,1665,0.43799999999999994,569,0.42100000000000004,0.5720000000000001
2020-05-14,White,Total,11956,0.23399999999999999,991,0.34299999999999997,0.366
2020-05-15,Asian,0-17,87,0.043,0,0.0,0.13
2020-05-15,Asian,18-34,1218,0.092,3,0.103,0.151
2020-05-15,Asian,35-49,1547,0.11599999999999999,10,0.069,0.179
2020-05-15,Asian,50-64,1672,0.126,52,0.11599999999999999,0.16699999999999998
2020-05-15,Asian,65-79,893,0.129,123,0.128,0.172
2020-05-15,Asian,80+,691,0.177,300,0.213,0.172
2020-05-15,Asian,Total,6118,0.11599999999999999,489,0.163,0.157
2020-05-15,Black,0-17,47,0.023,0,0.0,0.054000000000000006
2020-05-15,Black,18-34,638,0.048,3,0.103,0.065
2020-05-15,Black,35-49,694,0.052000000000000005,14,0.096,0.059
2020-05-15,Black,50-64,887,0.067,48,0.107,0.064
2020-05-15,Black,65-79,585,0.084,112,0.11699999999999999,0.055
2020-05-15,Black,80+,326,0.084,127,0.09,0.048
2020-05-15,Black,Total,3178,0.06,304,0.102,0.06
2020-05-15,Latino,0-17,1575,0.782,0,0.0,0.479
2020-05-15,Latino,18-34,8256,0.625,18,0.621,0.45
2020-05-15,Latino,35-49,7803,0.586,106,0.726,0.415
2020-05-15,Latino,50-64,6750,0.507,242,0.5379999999999999,0.322
2020-05-15,Latino,65-79,2545,0.36700000000000005,376,0.392,0.218
2020-05-15,Latino,80+,1000,0.256,368,0.262,0.196
2020-05-15,Latino,Total,27943,0.53,1110,0.371,0.389
2020-05-15,Other,0-17,104,0.051000000000000004,0,0.0,0.044000000000000004
2020-05-15,Other,18-34,863,0.065,2,0.068,0.032
2020-05-15,Other,35-49,841,0.063,4,0.027999999999999997,0.021
2020-05-15,Other,50-64,901,0.06799999999999999,10,0.020999999999999998,0.017
2020-05-15,Other,65-79,435,0.063,29,0.030000000000000002,0.015
2020-05-15,Other,80+,187,0.048,24,0.017,0.013
2020-05-15,Other,Total,3333,0.063,69,0.023,0.027000000000000003
2020-05-15,White,0-17,202,0.1,0,0.0,0.292
2020-05-15,White,18-34,2234,0.16899999999999998,3,0.103,0.302
2020-05-15,White,35-49,2433,0.183,12,0.08199999999999999,0.325
2020-05-15,White,50-64,3107,0.233,98,0.218,0.43
2020-05-15,White,65-79,2471,0.35700000000000004,320,0.33299999999999996,0.54
2020-05-15,White,80+,1697,0.435,588,0.418,0.5720000000000001
2020-05-15,White,Total,12153,0.23,1021,0.341,0.366
2020-05-16,Asian,0-17,95,0.044000000000000004,0,0.0,0.13
2020-05-16,Asian,18-34,1282,0.09300000000000001,3,0.09699999999999999,0.151
2020-05-16,Asian,35-49,1596,0.11599999999999999,10,0.068,0.179
2020-05-16,Asian,50-64,1725,0.125,53,0.11599999999999999,0.16699999999999998
2020-05-16,Asian,65-79,910,0.129,124,0.127,0.172
2020-05-16,Asian,80+,712,0.177,305,0.21100000000000002,0.172
2020-05-16,Asian,Total,6330,0.11599999999999999,496,0.162,0.157
2020-05-16,Black,0-17,48,0.022000000000000002,0,0.0,0.054000000000000006
2020-05-16,Black,18-34,643,0.047,3,0.09699999999999999,0.065
2020-05-16,Black,35-49,708,0.051,14,0.095,0.059
2020-05-16,Black,50-64,898,0.065,50,0.109,0.064
