Date,CA,CAName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative,Population
20210202,S12000005,Clackmannanshire,17,1654,3209.157936,0,63,122.2351572,16303,31631.74234,51539.99998
20210202,S12000006,Dumfries & Galloway,16,3695,2482.198038,1,119,79.94088405,38243,25690.58175,148860
20210202,S12000008,East Ayrshire,24,4931,4041.47201,3,183,149.9877059,32193,26385.54217,122010
20210202,S12000010,East Lothian,13,2204,2058.081987,1,88,82.17387244,23761,22187.87935,107090
20210202,S12000011,East Renfrewshire,21,3850,4030.147598,0,139,145.5040301,26024,27241.70418,95529.99998
20210202,S12000013,Na h-Eileanan Siar,7,196,733.5329341,0,1,3.74251497,4717,17653.44311,26720
20210202,S12000014,Falkirk,41,4506,2800.671266,2,155,96.33911368,43179,26837.5909,160890.0001
20210202,S12000017,Highland,3,2703,1146.16461,5,69,29.25836408,46663,19786.71077,235830
20210202,S12000018,Inverclyde,6,2606,3349.614396,0,109,140.1028278,22623,29078.40617,77799.99999
20210202,S12000019,Midlothian,5,2497,2700.627298,1,136,147.0906338,22835,24697.16634,92459.99998
20210202,S12000020,Moray,6,984,1026.925485,0,20,20.87246921,18524,19332.08099,95820.00001
20210202,S12000021,North Ayrshire,35,5090,3777.645836,3,219,162.5352531,33495,24858.98768,134740
20210202,S12000023,Orkney Islands,0,62,278.4014369,0,2,8.980691513,3168,14225.41536,22270.00001
20210202,S12000026,Scottish Borders,6,2655,2298.502294,0,84,72.72097654,27099,23460.30647,115510
20210202,S12000027,Shetland Islands,0,210,916.2303665,0,9,39.26701571,5766,25157.06806,22920
20210202,S12000028,South Ayrshire,5,3499,3107.184087,2,177,157.1796466,28895,25659.3553,112610
20210202,S12000029,South Lanarkshire,69,15675,4890.337878,5,501,156.3036221,89134,27808.31747,320530
20210202,S12000030,Stirling,13,2386,2532.639847,0,81,85.97813396,26378,27999.15083,94209.99998
20210202,S12000033,Aberdeen City,20,6247,2731.884375,2,206,90.08615035,56081,24524.86115,228670.0001
20210202,S12000034,Aberdeenshire,19,4928,1886.604648,2,163,62.40189886,56008,21441.75185,261210
20210202,S12000035,Argyll & Bute,7,1206,1404.448585,0,57,66.37941074,18914,22026.31885,85870
20210202,S12000036,City of Edinburgh,32,13978,2662.831235,4,494,94.1077858,123411,23509.99181,524929.9998
20210202,S12000038,Renfrewshire,48,8574,4787.269682,5,287,160.2456728,52185,29137.35343,179100
20210202,S12000039,West Dunbartonshire,22,3491,3925.559429,1,140,157.4271899,26341,29619.92578,88930.00001
20210202,S12000040,West Lothian,12,5617,3067.722556,0,218,119.0606226,43291,23643.36428,183100
20210202,S12000041,Angus,9,2583,2222.891566,5,108,92.94320138,26198,22545.61102,116200
20210202,S12000042,Dundee City,19,5864,3927.136351,2,195,130.5920171,40723,27272.3011,149320
20210202,S12000045,East Dunbartonshire,17,4393,4043.630339,3,166,152.7982327,28991,26685.38292,108640
20210202,S12000015,Fife,39,8989,2406.371302,2,325,87.00307857,85529,22896.26556,373550
20210202,S12000024,Perth & Kinross,9,3661,2409.345179,2,172,113.19513,35710,23501.15169,151950
20210202,S12000046,Glasgow City,147,33798,5338.324488,7,940,148.4710639,184793,29187.67374,633119.9999
20210202,S12000044,North Lanarkshire,69,17479,5120.250754,11,544,159.3578815,95257,27904.32668,341370
