Date,Country,Sex,AgeGroup,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,Population
20200228,S92000003,Female,15 to 19,0,0,0,0,0,0,10,7.257631399,137786
20200228,S92000003,Female,20 to 24,0,0,0,0,0,0,42,24.50551374,171390
20200228,S92000003,Female,25 to 44,0,0,0,0,0,0,126,17.48838965,720478
20200228,S92000003,Female,45 to 64,0,0,0,0,0,0,147,18.99261614,773985
20200228,S92000003,Female,65 to 74,0,1,0.331673858,0,0,0,30,9.950215754,301501
20200228,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,4,2.09397772,191024
20200228,S92000003,Female,85plus,0,0,0,0,0,0,1,1.216633818,82194
20200228,S92000003,Female,Total,0,3,0.107131494,0,0,0,393,14.03422566,2800297
20200228,S92000003,Male,15 to 19,0,0,0,0,0,0,8,5.54892767,144172
20200228,S92000003,Male,20 to 24,0,0,0,0,0,0,22,12.49531426,176066
20200228,S92000003,Male,25 to 44,0,0,0,0,0,0,141,20.05136563,703194
20200228,S92000003,Male,45 to 64,1,1,0.137669178,0,0,0,148,20.37503838,726379
20200228,S92000003,Male,65 to 74,0,0,0,0,0,0,34,12.28328137,276799
20200228,S92000003,Male,75 to 84,0,0,0,0,0,0,4,2.707569009,147734
20200228,S92000003,Male,85plus,0,0,0,0,0,0,0,0,44893
20200228,S92000003,Male,Total,1,1,0.037551591,0,0,0,411,15.43370398,2663003
20200228,S92000003,Total,15 to 19,0,0,0,0,0,0,18,6.383929521,281958
20200228,S92000003,Total,20 to 24,0,0,0,0,0,0,65,18.70740468,347456
20200228,S92000003,Total,25 to 44,0,0,0,0,0,0,268,18.82456071,1423672
20200228,S92000003,Total,45 to 64,1,1,0.066650493,0,0,0,295,19.66189538,1500364
20200228,S92000003,Total,65 to 74,0,1,0.172920629,0,0,0,64,11.06692028,578300
20200228,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,8,2.361567845,338758
20200228,S92000003,Total,85plus,0,0,0,0,0,0,1,0.786862543,127087
20200228,S92000003,Total,Total,1,4,0.073215822,0,0,0,806,14.75298812,5463300
20200229,S92000003,Female,15 to 19,0,0,0,0,0,0,11,7.983394539,137786
20200229,S92000003,Female,20 to 24,0,0,0,0,0,0,44,25.67244297,171390
20200229,S92000003,Female,25 to 44,0,0,0,0,0,0,132,18.32117011,720478
20200229,S92000003,Female,45 to 64,0,0,0,0,0,0,154,19.89702643,773985
20200229,S92000003,Female,65 to 74,0,1,0.331673858,0,0,0,34,11.27691119,301501
20200229,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,8,4.18795544,191024
20200229,S92000003,Female,85plus,0,0,0,0,0,0,2,2.433267635,82194
20200229,S92000003,Female,Total,0,3,0.107131494,0,0,0,425,15.17696159,2800297
20200229,S92000003,Male,15 to 19,0,0,0,0,0,0,8,5.54892767,144172
20200229,S92000003,Male,20 to 24,0,0,0,0,0,0,23,13.06328309,176066
20200229,S92000003,Male,25 to 44,0,0,0,0,0,0,147,20.90461523,703194
20200229,S92000003,Male,45 to 64,0,1,0.137669178,0,0,0,161,22.16473769,726379
20200229,S92000003,Male,65 to 74,0,0,0,0,0,0,39,14.08964628,276799
20200229,S92000003,Male,75 to 84,0,0,0,0,0,0,6,4.061353514,147734
20200229,S92000003,Male,85plus,0,0,0,0,0,0,1,2.227518767,44893
20200229,S92000003,Male,Total,0,1,0.037551591,0,0,0,451,16.93576763,2663003
20200229,S92000003,Total,15 to 19,0,0,0,0,0,0,19,6.738592273,281958
20200229,S92000003,Total,20 to 24,0,0,0,0,0,0,68,19.57082336,347456
20200229,S92000003,Total,25 to 44,0,0,0,0,0,0,280,19.66745149,1423672
20200229,S92000003,Total,45 to 64,0,1,0.066650493,0,0,0,315,20.99490524,1500364
20200229,S92000003,Total,65 to 74,0,1,0.172920629,0,0,0,73,12.62320595,578300
20200229,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,14,4.132743729,338758
20200229,S92000003,Total,85plus,0,0,0,0,0,0,3,2.360587629,127087
20200229,S92000003,Total,Total,0,4,0.073215822,0,0,0,878,16.07087292,5463300
20200301,S92000003,Female,15 to 19,0,0,0,0,0,0,11,7.983394539,137786
20200301,S92000003,Female,20 to 24,0,0,0,0,0,0,47,27.4228368,171390
20200301,S92000003,Female,25 to 44,0,0,0,0,0,0,139,19.29274731,720478
20200301,S92000003,Female,45 to 64,0,0,0,0,0,0,161,20.80143672,773985
20200301,S92000003,Female,65 to 74,1,2,0.663347717,0,0,0,37,12.27193276,301501
20200301,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,8,4.18795544,191024
20200301,S92000003,Female,85plus,0,0,0,0,0,0,4,4.86653527,82194
20200301,S92000003,Female,Total,1,4,0.142841991,0,0,0,459,16.39111851,2800297
20200301,S92000003,Male,15 to 19,0,0,0,0,0,0,11,7.629775546,144172
20200301,S92000003,Male,20 to 24,0,0,0,0,0,0,29,16.47109607,176066
20200301,S92000003,Male,25 to 44,0,0,0,0,0,0,157,22.3266979,703194
20200301,S92000003,Male,45 to 64,1,2,0.275338356,0,0,0,168,23.12842194,726379
20200301,S92000003,Male,65 to 74,0,0,0,0,0,0,41,14.81219224,276799
20200301,S92000003,Male,75 to 84,0,0,0,0,0,0,7,4.738245766,147734
20200301,S92000003,Male,85plus,0,0,0,0,0,0,2,4.455037534,44893
20200301,S92000003,Male,Total,1,2,0.075103182,0,0,0,496,18.62558923,2663003
20200301,S92000003,Total,15 to 19,0,0,0,0,0,0,22,7.802580526,281958
20200301,S92000003,Total,20 to 24,0,0,0,0,0,0,77,22.16107939,347456
20200301,S92000003,Total,25 to 44,0,0,0,0,0,0,297,20.86154676,1423672
20200301,S92000003,Total,45 to 64,1,2,0.133300986,0,0,0,329,21.92801214,1500364
20200301,S92000003,Total,65 to 74,1,2,0.345841259,0,0,0,78,13.4878091,578300
20200301,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,15,4.427939709,338758
20200301,S92000003,Total,85plus,0,0,0,0,0,0,6,4.721175258,127087
20200301,S92000003,Total,Total,2,6,0.109823733,0,0,0,957,17.5168854,5463300
20200302,S92000003,Female,15 to 19,0,0,0,0,0,0,12,8.709157679,137786
20200302,S92000003,Female,20 to 24,0,0,0,0,0,0,55,32.09055371,171390
20200302,S92000003,Female,25 to 44,0,0,0,0,0,0,163,22.62386915,720478
20200302,S92000003,Female,45 to 64,0,0,0,0,0,0,189,24.41907789,773985
20200302,S92000003,Female,65 to 74,0,2,0.663347717,0,0,0,48,15.92034521,301501
20200302,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,12,6.28193316,191024
20200302,S92000003,Female,85plus,0,0,0,0,0,0,7,8.516436723,82194
20200302,S92000003,Female,Total,0,4,0.142841991,0,0,0,566,20.21214178,2800297
20200302,S92000003,Male,15 to 19,0,0,0,0,0,0,13,9.017007463,144172
20200302,S92000003,Male,20 to 24,0,0,0,0,0,0,31,17.60703373,176066
20200302,S92000003,Male,25 to 44,1,1,0.142208267,0,0,0,181,25.7396963,703194
20200302,S92000003,Male,45 to 64,0,2,0.275338356,0,0,0,201,27.67150482,726379
20200302,S92000003,Male,65 to 74,0,0,0,0,0,0,57,20.59255994,276799
20200302,S92000003,Male,75 to 84,0,0,0,0,0,0,9,6.092030271,147734
20200302,S92000003,Male,85plus,0,0,0,0,0,0,5,11.13759383,44893
20200302,S92000003,Male,Total,1,3,0.112654774,0,0,0,601,22.56850631,2663003
20200302,S92000003,Total,15 to 19,0,0,0,0,0,0,25,8.86656878,281958
20200302,S92000003,Total,20 to 24,0,0,0,0,0,0,87,25.03914165,347456
20200302,S92000003,Total,25 to 44,1,1,0.070240898,0,0,0,345,24.23310987,1423672
20200302,S92000003,Total,45 to 64,0,2,0.133300986,0,0,0,390,25.9936922,1500364
20200302,S92000003,Total,65 to 74,0,2,0.345841259,0,0,0,105,18.15666609,578300
20200302,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,21,6.199115593,338758
20200302,S92000003,Total,85plus,0,0,0,0,0,0,12,9.442350516,127087
20200302,S92000003,Total,Total,1,7,0.128127688,0,0,0,1169,21.39732396,5463300
20200303,S92000003,Female,15 to 19,0,0,0,0,0,0,18,13.06373652,137786
20200303,S92000003,Female,20 to 24,0,0,0,0,0,0,61,35.59134139,171390
20200303,S92000003,Female,25 to 44,0,0,0,0,0,0,201,27.8981454,720478
20200303,S92000003,Female,45 to 64,0,0,0,0,0,0,220,28.42432347,773985
20200303,S92000003,Female,65 to 74,0,2,0.663347717,0,0,0,60,19.90043151,301501
20200303,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,13,6.80542759,191024
20200303,S92000003,Female,85plus,0,0,0,0,0,0,10,12.16633818,82194
20200303,S92000003,Female,Total,0,4,0.142841991,0,0,0,680,24.28313854,2800297
20200303,S92000003,Male,15 to 19,0,0,0,0,0,0,19,13.17870322,144172
20200303,S92000003,Male,20 to 24,0,0,0,0,0,0,40,22.71875319,176066
20200303,S92000003,Male,25 to 44,2,3,0.426624801,0,0,0,212,30.14815257,703194
20200303,S92000003,Male,45 to 64,1,3,0.413007535,0,0,0,229,31.52624181,726379
20200303,S92000003,Male,65 to 74,0,0,0,0,0,0,67,24.20528976,276799
20200303,S92000003,Male,75 to 84,0,0,0,0,0,0,12,8.122707027,147734
20200303,S92000003,Male,85plus,0,0,0,0,0,0,6,13.3651126,44893
20200303,S92000003,Male,Total,3,6,0.225309547,0,0,0,719,26.99959407,2663003
20200303,S92000003,Total,15 to 19,0,0,0,0,0,0,37,13.12252179,281958
20200303,S92000003,Total,20 to 24,0,0,0,0,0,0,102,29.35623503,347456
20200303,S92000003,Total,25 to 44,2,3,0.210722695,0,0,0,414,29.07973185,1423672
20200303,S92000003,Total,45 to 64,1,3,0.199951478,0,0,0,449,29.92607127,1500364
20200303,S92000003,Total,65 to 74,0,2,0.345841259,0,0,0,127,21.96091994,578300
20200303,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,25,7.379899515,338758
20200303,S92000003,Total,85plus,0,0,0,0,0,0,16,12.58980069,127087
20200303,S92000003,Total,Total,3,10,0.183039555,0,0,0,1401,25.64384163,5463300
20200304,S92000003,Female,15 to 19,0,0,0,0,0,0,21,15.24102594,137786
20200304,S92000003,Female,20 to 24,0,0,0,0,0,0,69,40.25905829,171390
20200304,S92000003,Female,25 to 44,2,2,0.277593487,0,0,0,222,30.81287701,720478
20200304,S92000003,Female,45 to 64,1,1,0.12920147,0,0,0,241,31.13755435,773985
20200304,S92000003,Female,65 to 74,0,2,0.663347717,0,0,0,67,22.22214852,301501
20200304,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,17,8.89940531,191024
20200304,S92000003,Female,85plus,0,0,0,0,0,0,13,15.81623963,82194
20200304,S92000003,Female,Total,3,7,0.249973485,0,0,0,768,27.42566235,2800297
20200304,S92000003,Male,15 to 19,0,0,0,0,0,0,24,16.64678301,144172
20200304,S92000003,Male,20 to 24,0,0,0,0,0,0,49,27.83047266,176066
20200304,S92000003,Male,25 to 44,2,5,0.711041334,0,0,0,234,33.27673444,703194
20200304,S92000003,Male,45 to 64,1,4,0.550676713,0,0,0,255,35.10564044,726379
20200304,S92000003,Male,65 to 74,0,0,0,0,0,0,76,27.45674659,276799
20200304,S92000003,Male,75 to 84,0,0,0,0,0,0,21,14.2147373,147734
20200304,S92000003,Male,85plus,0,0,0,0,0,0,6,13.3651126,44893
20200304,S92000003,Male,Total,3,9,0.337964321,0,0,0,823,30.90495955,2663003
20200304,S92000003,Total,15 to 19,0,0,0,0,0,0,45,15.9598238,281958
20200304,S92000003,Total,20 to 24,0,0,0,0,0,0,119,34.24894087,347456
20200304,S92000003,Total,25 to 44,4,7,0.491686287,0,0,0,457,32.10009047,1423672
20200304,S92000003,Total,45 to 64,2,5,0.333252464,0,0,0,496,33.05864444,1500364
20200304,S92000003,Total,65 to 74,0,2,0.345841259,0,0,0,143,24.72765001,578300
20200304,S92000003,Total,75 to 84,0,1,0.295195981,0,0,0,38,11.21744726,338758
20200304,S92000003,Total,85plus,0,0,0,0,0,0,19,14.95038832,127087
20200304,S92000003,Total,Total,6,16,0.292863288,0,0,0,1593,29.15820109,5463300
20200305,S92000003,Female,15 to 19,0,0,0,0,0,0,25,18.1440785,137786
20200305,S92000003,Female,20 to 24,1,1,0.583464613,0,0,0,74,43.17638135,171390
20200305,S92000003,Female,25 to 44,0,2,0.277593487,0,0,0,245,34.0052021,720478
20200305,S92000003,Female,45 to 64,0,1,0.12920147,0,0,0,266,34.3675911,773985
20200305,S92000003,Female,65 to 74,0,2,0.663347717,0,0,0,76,25.20721324,301501
20200305,S92000003,Female,75 to 84,0,1,0.52349443,0,0,0,21,10.99338303,191024
