date,county,state,cases,deaths,FIPStxt,State2,Region,population,current_crate,current_drate,drate,crate,state_death,state_case,case_day,death_day
03/20/20,Imperial,California,4,0.00,6025,CA,County,181215,2.21,0.00,302.40,14461.28,1,2,4.00,0.00
03/21/20,Imperial,California,4,0.00,6025,CA,County,181215,2.21,0.00,302.40,14461.28,1,2,0.00,0.00
03/22/20,Imperial,California,4,0.00,6025,CA,County,181215,2.21,0.00,302.40,14461.28,1,2,0.00,0.00
03/23/20,Imperial,California,4,0.00,6025,CA,County,181215,2.21,0.00,302.40,14461.28,1,2,0.00,0.00
03/24/20,Imperial,California,9,0.00,6025,CA,County,181215,4.97,0.00,302.40,14461.28,1,2,5.00,0.00
03/25/20,Imperial,California,9,0.00,6025,CA,County,181215,4.97,0.00,302.40,14461.28,1,2,0.00,0.00
03/26/20,Imperial,California,17,0.00,6025,CA,County,181215,9.38,0.00,302.40,14461.28,1,2,8.00,0.00
03/27/20,Imperial,California,21,0.00,6025,CA,County,181215,11.59,0.00,302.40,14461.28,1,2,4.00,0.00
03/28/20,Imperial,California,25,0.00,6025,CA,County,181215,13.80,0.00,302.40,14461.28,1,2,4.00,0.00
03/29/20,Imperial,California,25,0.00,6025,CA,County,181215,13.80,0.00,302.40,14461.28,1,2,0.00,0.00
03/30/20,Imperial,California,33,0.00,6025,CA,County,181215,18.21,0.00,302.40,14461.28,1,2,8.00,0.00
03/31/20,Imperial,California,38,0.00,6025,CA,County,181215,20.97,0.00,302.40,14461.28,1,2,5.00,0.00
04/01/20,Imperial,California,43,0.00,6025,CA,County,181215,23.73,0.00,302.40,14461.28,1,2,5.00,0.00
04/02/20,Imperial,California,50,0.00,6025,CA,County,181215,27.59,0.00,302.40,14461.28,1,2,7.00,0.00
04/03/20,Imperial,California,55,0.00,6025,CA,County,181215,30.35,0.00,302.40,14461.28,1,2,5.00,0.00
04/04/20,Imperial,California,55,0.00,6025,CA,County,181215,30.35,0.00,302.40,14461.28,1,2,0.00,0.00
04/05/20,Imperial,California,57,1.00,6025,CA,County,181215,31.45,0.55,302.40,14461.28,1,2,2.00,1.00
04/06/20,Imperial,California,68,3.00,6025,CA,County,181215,37.52,1.66,302.40,14461.28,1,2,11.00,2.00
04/07/20,Imperial,California,73,2.00,6025,CA,County,181215,40.28,1.10,302.40,14461.28,1,2,5.00,-1.00
04/08/20,Imperial,California,75,3.00,6025,CA,County,181215,41.39,1.66,302.40,14461.28,1,2,2.00,1.00
04/09/20,Imperial,California,79,2.00,6025,CA,County,181215,43.59,1.10,302.40,14461.28,1,2,4.00,-1.00
04/10/20,Imperial,California,79,2.00,6025,CA,County,181215,43.59,1.10,302.40,14461.28,1,2,0.00,0.00
04/11/20,Imperial,California,87,2.00,6025,CA,County,181215,48.01,1.10,302.40,14461.28,1,2,8.00,0.00
04/12/20,Imperial,California,87,2.00,6025,CA,County,181215,48.01,1.10,302.40,14461.28,1,2,0.00,0.00
04/13/20,Imperial,California,87,2.00,6025,CA,County,181215,48.01,1.10,302.40,14461.28,1,2,0.00,0.00
04/14/20,Imperial,California,117,2.00,6025,CA,County,181215,64.56,1.10,302.40,14461.28,1,2,30.00,0.00
04/15/20,Imperial,California,127,2.00,6025,CA,County,181215,70.08,1.10,302.40,14461.28,1,2,10.00,0.00
04/16/20,Imperial,California,143,2.00,6025,CA,County,181215,78.91,1.10,302.40,14461.28,1,2,16.00,0.00
04/17/20,Imperial,California,155,2.00,6025,CA,County,181215,85.53,1.10,302.40,14461.28,1,2,12.00,0.00
04/18/20,Imperial,California,155,2.00,6025,CA,County,181215,85.53,1.10,302.40,14461.28,1,2,0.00,0.00
04/19/20,Imperial,California,160,2.00,6025,CA,County,181215,88.29,1.10,302.40,14461.28,1,2,5.00,0.00
04/20/20,Imperial,California,160,2.00,6025,CA,County,181215,88.29,1.10,302.40,14461.28,1,2,0.00,0.00
04/21/20,Imperial,California,195,4.00,6025,CA,County,181215,107.61,2.21,302.40,14461.28,1,2,35.00,2.00
04/22/20,Imperial,California,214,4.00,6025,CA,County,181215,118.09,2.21,302.40,14461.28,1,2,19.00,0.00
04/23/20,Imperial,California,232,8.00,6025,CA,County,181215,128.02,4.41,302.40,14461.28,1,2,18.00,4.00
04/24/20,Imperial,California,251,8.00,6025,CA,County,181215,138.51,4.41,302.40,14461.28,1,2,19.00,0.00
04/25/20,Imperial,California,251,7.00,6025,CA,County,181215,138.51,3.86,302.40,14461.28,1,2,0.00,-1.00
04/26/20,Imperial,California,251,7.00,6025,CA,County,181215,138.51,3.86,302.40,14461.28,1,2,0.00,0.00
04/27/20,Imperial,California,284,7.00,6025,CA,County,181215,156.72,3.86,302.40,14461.28,1,2,33.00,0.00
04/28/20,Imperial,California,304,8.00,6025,CA,County,181215,167.76,4.41,302.40,14461.28,1,2,20.00,1.00
04/29/20,Imperial,California,319,8.00,6025,CA,County,181215,176.03,4.41,302.40,14461.28,1,2,15.00,0.00
04/30/20,Imperial,California,333,8.00,6025,CA,County,181215,183.76,4.41,302.40,14461.28,1,2,14.00,0.00
05/01/20,Imperial,California,358,8.00,6025,CA,County,181215,197.56,4.41,302.40,14461.28,1,2,25.00,0.00
05/02/20,Imperial,California,358,8.00,6025,CA,County,181215,197.56,4.41,302.40,14461.28,1,2,0.00,0.00
05/03/20,Imperial,California,358,8.00,6025,CA,County,181215,197.56,4.41,302.40,14461.28,1,2,0.00,0.00
05/04/20,Imperial,California,379,8.00,6025,CA,County,181215,209.14,4.41,302.40,14461.28,1,2,21.00,0.00
05/05/20,Imperial,California,400,8.00,6025,CA,County,181215,220.73,4.41,302.40,14461.28,1,2,21.00,0.00
05/06/20,Imperial,California,419,8.00,6025,CA,County,181215,231.22,4.41,302.40,14461.28,1,2,19.00,0.00
05/07/20,Imperial,California,455,8.00,6025,CA,County,181215,251.08,4.41,302.40,14461.28,1,2,36.00,0.00
05/08/20,Imperial,California,512,11.00,6025,CA,County,181215,282.54,6.07,302.40,14461.28,1,2,57.00,3.00
05/09/20,Imperial,California,512,11.00,6025,CA,County,181215,282.54,6.07,302.40,14461.28,1,2,0.00,0.00
05/10/20,Imperial,California,512,11.00,6025,CA,County,181215,282.54,6.07,302.40,14461.28,1,2,0.00,0.00
05/11/20,Imperial,California,564,11.00,6025,CA,County,181215,311.23,6.07,302.40,14461.28,1,2,52.00,0.00
05/12/20,Imperial,California,603,12.00,6025,CA,County,181215,332.75,6.62,302.40,14461.28,1,2,39.00,1.00
05/13/20,Imperial,California,647,13.00,6025,CA,County,181215,357.03,7.17,302.40,14461.28,1,2,44.00,1.00
05/14/20,Imperial,California,712,14.00,6025,CA,County,181215,392.90,7.73,302.40,14461.28,1,2,65.00,1.00
